"STUDY_ID","EVENT_ID","STAT_ID","STAT_ARRIV","DEPTH","ORDERED_DEPTH_CODE","SPEC_CODE","LOWEST_TAXON","GROUP_ID","DESCR","CELLS_PER_L","UG_CARBON_PER_L"
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",955.53,0.050653
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","0702100113","SPECIES","CENTRIC DIATOM","Rhizosolenia setigera",159.25,0.22271
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",25481,0.21175
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",318.51,0.013288
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","0703100402","SPECIES","PENNATE DIATOM","Cylindrotheca closterium",796.27,0.12179
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","0703SG01","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 1 <10 microns length",6370.2,0.04096
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","0703SG02","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 2 10-30 microns length",318.51,0.010444
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","1202010403","SPECIES","DINOFLAGELLATES","Prorocentrum triestinum",637.02,0.098075
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","1202010415","SPECIES","DINOFLAGELLATES","Prorocentrum cordatum",3185.1,0.49038
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","12040103SG01","SUBGENUS","DINOFLAGELLATES","Gymnodinium sp. group 1 5-20 microns width, 10-20 microns length",6370.2,0.68365
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","12040104SG02","SUBGENUS","DINOFLAGELLATES","Gyrodinium sp. group 2 21-40 microns width, 21-50 microns length",477.76,0.94664
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","12041001ROTU","SPECIES","DINOFLAGELLATES","Heterocapsa rotundata",15925,0.33635
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","1204140108","SPECIES","DINOFLAGELLATES","Tripos muelleri",477.76,3.6221
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","1204140113","SPECIES","DINOFLAGELLATES","Tripos minutum",159.25,1.5464
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",73257,0.47397
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","3513ALOR","CLASS","CILIOPHORA_HETERO","Ciliatea (aloricate)",6848,6.848
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","AAAAAAAA81","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 1 length <10 microns",509620,10.605
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","AAAAAAAA82","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 2 length >10 microns",3185.1,0.40132
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","04070101SPEC","SPECIES","CHRYSOPHYTES","Dictyocha speculum",156.25,0.037531
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","07020205PUNC","SPECIES","CENTRIC DIATOM","Thalassiosira punctigera",156.25,0.125
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",2500,0.13253
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",28125,0.23372
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",2187.5,0.091263
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","0703100402","SPECIES","PENNATE DIATOM","Cylindrotheca closterium",2343.8,0.35848
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","1202010401","SPECIES","DINOFLAGELLATES","Prorocentrum micans",156.25,0.096597
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","12041001ROTU","SPECIES","DINOFLAGELLATES","Heterocapsa rotundata",6250,0.132
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","1204140108","SPECIES","DINOFLAGELLATES","Tripos muelleri",625,4.7383
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",37500,0.24263
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C","AAAAAAAA81","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 1 length <10 microns",400000,8.324
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","0702020101CX","SPECIES","CENTRIC DIATOM","Skeletonema costatum species complex",1923.1,0.036769
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","07020205PUNC","SPECIES","CENTRIC DIATOM","Thalassiosira punctigera",1923.1,1.5385
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",2724.4,0.14442
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",28846,0.23971
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",801.28,0.033429
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","0703100402","SPECIES","PENNATE DIATOM","Cylindrotheca closterium",1282.1,0.19609
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","0703SG02","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 2 10-30 microns length",160.26,0.0052548
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","1202010403","SPECIES","DINOFLAGELLATES","Prorocentrum triestinum",160.26,0.024673
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","12040103SG01","SUBGENUS","DINOFLAGELLATES","Gymnodinium sp. group 1 5-20 microns width, 10-20 microns length",6410.3,0.68795
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","12041001ROTU","SPECIES","DINOFLAGELLATES","Heterocapsa rotundata",12821,0.27077
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","1204140108","SPECIES","DINOFLAGELLATES","Tripos muelleri",641.03,4.8598
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",67308,0.43548
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","3513ALOR","CLASS","CILIOPHORA_HETERO","Ciliatea (aloricate)",641.03,0.64103
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A","AAAAAAAA81","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 1 length <10 microns",407050,8.4707
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","04070101SPEC","SPECIES","CHRYSOPHYTES","Dictyocha speculum",310.56,0.074596
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","0702020101CX","SPECIES","CENTRIC DIATOM","Skeletonema costatum species complex",1708.1,0.032658
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","0702020508","SPECIES","CENTRIC DIATOM","Thalassiosira nordenskioeldii",310.56,0.006354
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","07020205PUNC","SPECIES","CENTRIC DIATOM","Thalassiosira punctigera",465.84,0.37267
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",4347.8,0.23048
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","0702040102","SPECIES","CENTRIC DIATOM","Actinoptychus senarius",155.28,0.10639
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","0702100113","SPECIES","CENTRIC DIATOM","Rhizosolenia setigera",155.28,0.21715
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",12422,0.10323
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",5279.5,0.22026
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","07030517SPP","GENUS","PENNATE DIATOM","Pleurosigma spp.",155.28,0.13066
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","07030701SPP","GENUS","PENNATE DIATOM","Amphora spp.",155.28,0.13932
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","0703100402","SPECIES","PENNATE DIATOM","Cylindrotheca closterium",621.12,0.095
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","0703SG01","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 1 <10 microns length",3105.6,0.019969
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","12040104SG02","SUBGENUS","DINOFLAGELLATES","Gyrodinium sp. group 2 21-40 microns width, 21-50 microns length",621.12,1.2307
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","1204140113","SPECIES","DINOFLAGELLATES","Tripos minutum",776.4,7.5388
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",34161,0.22102
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","3513ALOR","CLASS","CILIOPHORA_HETERO","Ciliatea (aloricate)",1242.2,1.2422
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C","AAAAAAAA81","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 1 length <10 microns",260870,5.4287
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","0407010301","SPECIES","CHRYSOPHYTES","Ebria tripartita",306.49,0.14941
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",3218.1,0.17059
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","0702020801","SPECIES","CENTRIC DIATOM","Porosira glacialis",153.25,0.38311
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",27584,0.22922
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",3371.4,0.14065
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","12040103SG01","SUBGENUS","DINOFLAGELLATES","Gymnodinium sp. group 1 5-20 microns width, 10-20 microns length",3064.9,0.32893
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","1204100101","SPECIES","DINOFLAGELLATES","Heterocapsa triquetra",153.25,0.057921
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","12041001ROTU","SPECIES","DINOFLAGELLATES","Heterocapsa rotundata",6129.8,0.12946
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","12041005SG02","SUBGENUS","DINOFLAGELLATES","Protoperidinium sp. group 2 31-75 microns width, 41-80 microns length",153.25,0.84755
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","1204140102","SPECIES","DINOFLAGELLATES","Tripos furca",153.25,0.29306
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","1204140108","SPECIES","DINOFLAGELLATES","Tripos muelleri",1532.5,11.618
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",15325,0.09915
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","3513ALOR","CLASS","CILIOPHORA_HETERO","Ciliatea (aloricate)",766.23,0.76623
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","354013AGSPP","SUBORDER","CILIOPHORA_HETERO","Tintinnids (agglomerate)",153.25,0.15325
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A","AAAAAAAA81","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 1 length <10 microns",285040,5.9316
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","0702020101CX","SPECIES","CENTRIC DIATOM","Skeletonema costatum species complex",2893.6,0.055325
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",4568.8,0.24219
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","0702100401","SPECIES","CENTRIC DIATOM","Ditylum brightwellii",152.29,0.52775
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",12183,0.10124
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",2436.7,0.10166
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","07030701SPP","GENUS","PENNATE DIATOM","Amphora spp.",152.29,0.13665
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","0703100402","SPECIES","PENNATE DIATOM","Cylindrotheca closterium",2436.7,0.37269
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","0703SG02","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 2 10-30 microns length",609.17,0.019975
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","1202010401","SPECIES","DINOFLAGELLATES","Prorocentrum micans",304.59,0.1883
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","12040103SG01","SUBGENUS","DINOFLAGELLATES","Gymnodinium sp. group 1 5-20 microns width, 10-20 microns length",9137.6,0.98065
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","1204140108","SPECIES","DINOFLAGELLATES","Tripos muelleri",609.17,4.6184
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",21321,0.13795
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","3513ALOR","CLASS","CILIOPHORA_HETERO","Ciliatea (aloricate)",761.47,0.76147
"BWQM","WN241","F22",08-FEB-2024 10:09:35,38.78,"C","AAAAAAAA81","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 1 length <10 microns",268040,5.5778
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","04070101SPEC","SPECIES","CHRYSOPHYTES","Dictyocha speculum",2025.1,0.48642
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","0603020101","SPECIES","HAPTOPHYTES","Phaeocystis pouchetii",5062.7,0.15745
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","0702020505","SPECIES","CENTRIC DIATOM","Thalassiosira decipiens",1265.7,0.21665
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","07020205PUNC","SPECIES","CENTRIC DIATOM","Thalassiosira punctigera",759.4,0.60752
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",58727,3.1131
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","07020301SG02","SUBGENUS","CENTRIC DIATOM","Coscinodiscus sp. group 2 diam 40-100 microns",253.13,0.65865
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","0702100113","SPECIES","CENTRIC DIATOM","Rhizosolenia setigera",253.13,0.354
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","07021002DELI","SPECIES","CENTRIC DIATOM","Guinardia delicatula",2784.5,0.62988
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",22782,0.18932
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",8859.7,0.36963
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","0703100402","SPECIES","PENNATE DIATOM","Cylindrotheca closterium",1265.7,0.19358
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","0703SG02","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 2 10-30 microns length",253.13,0.0083003
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","1202010401","SPECIES","DINOFLAGELLATES","Prorocentrum micans",506.27,0.31299
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","1202010403","SPECIES","DINOFLAGELLATES","Prorocentrum triestinum",253.13,0.038973
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","1202010415","SPECIES","DINOFLAGELLATES","Prorocentrum cordatum",2531.3,0.38973
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","12040103SG01","SUBGENUS","DINOFLAGELLATES","Gymnodinium sp. group 1 5-20 microns width, 10-20 microns length",5062.7,0.54333
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","12040104SG02","SUBGENUS","DINOFLAGELLATES","Gyrodinium sp. group 2 21-40 microns width, 21-50 microns length",1518.8,3.0093
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","12041005SG02","SUBGENUS","DINOFLAGELLATES","Protoperidinium sp. group 2 31-75 microns width, 41-80 microns length",253.13,1.4
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",35439,0.22929
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","3513ALOR","CLASS","CILIOPHORA_HETERO","Ciliatea (aloricate)",1012.5,1.0125
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,1.5,"A","AAAAAAAA81","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 1 length <10 microns",407550,8.481
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","0702020505","SPECIES","CENTRIC DIATOM","Thalassiosira decipiens",755.64,0.12934
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","07020205PUNC","SPECIES","CENTRIC DIATOM","Thalassiosira punctigera",251.88,0.2015
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",23425,1.2418
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",22669,0.18838
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",755.64,0.031525
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","07031001PSEUSG02","SUBGENUS","PENNATE DIATOM","Pseudo-nitzschia sp. group 2 width > 3 microns (pungens/seriata)",125.94,0.025062
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","0703100402","SPECIES","PENNATE DIATOM","Cylindrotheca closterium",1007.5,0.1541
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","0703SG02","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 2 10-30 microns length",377.82,0.012389
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","1202010415","SPECIES","DINOFLAGELLATES","Prorocentrum cordatum",5037.6,0.77559
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","12040104SG01","SUBGENUS","DINOFLAGELLATES","Gyrodinium sp. group 1 5-20 microns width, 10-20 microns length",7556.4,0.81096
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","12040104SG02","SUBGENUS","DINOFLAGELLATES","Gyrodinium sp. group 2 21-40 microns width, 21-50 microns length",125.94,0.24954
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","12041005SG02","SUBGENUS","DINOFLAGELLATES","Protoperidinium sp. group 2 31-75 microns width, 41-80 microns length",125.94,0.69654
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","1204140108","SPECIES","DINOFLAGELLATES","Tripos muelleri",629.7,4.774
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",62970,0.40742
"PCCS","WN241_PCCS","F01",08-FEB-2024 11:40:00,1.5,"A","3409SG01","SUBCLASS","HAPTOPHYTES","Coccolithophorid group 1, <10 um diameter",251.88,0.0045339
